Golpata Extraction Capacity,Catching Capacity Mangrove,Catching Capacity Household,Crop Production Capacity,Mangrove Fishers in Loan,Household Fishers in Loan,Farmers in Loan,Golpata Stock,Fishermen,Bawali,Farmers
38.65915051342952,3.3323617295787984,2.6351223380915703,2.5170684795303595,0,0,300,-25.364034282316503,300,300,300
34.659150513429516,3.1382022778480363,2.5667599914369563,2.817068479530386,0,0,300,0.0,300,300,300
34.559150513429515,2.9464586286104035,2.513554354362816,1.839608660816736,0,0,17,0.0,300,300,300
34.599150513429514,2.7815770019843775,2.454943855546559,2.788569526898401,0,2,286,100.0,300,300,300
34.624833846762854,2.637462173925168,2.4124217147657694,1.8665931462549292,0,2,12,500.0,300,300,300
36.613214230749556,2.519492006064374,2.369494611826483,2.8269228035676894,0,3,286,319.0884803990735,300,300,300
34.919287831933865,2.429836448551736,2.334644617232166,2.951102277079408,1,4,293,-31.36955513032173,300,300,300
34.6187961652672,2.368795966523869,2.291768574703676,1.8748240576000281,4,7,9,88.63044486967827,300,300,300
34.65163783193386,2.333050266276078,2.255521278632911,2.853898593813349,6,8,288,208.63044486967829,300,300,300
36.63430112453766,2.3084555923999805,2.239952637054603,2.9810935235040428,10,12,295,19.481666756021077,300,300,300
35.18615945787099,2.297695469299965,2.217056221432929,1.8913148663459072,14,15,7,139.48166675602107,300,300,300
35.20468445787099,2.2921664808695508,2.217142708985177,2.8862139429965175,23,17,290,259.48166675602107,300,300,300
36.19576019082758,2.2802856995266096,2.207119841605004,1.8375246401463596,27,18,14,-11.540321941389223,300,300,300
35.90134721446634,1.1399509623525081,2.1556361882044195,3.3662819309456964,15,24,362,108.45967805861078,150,300,300
35.90555554779967,1.1370000343566844,2.1457610959668987,3.4771436412200045,18,26,366,228.4596780586108,150,300,300
36.84010469586848,0.5988968979999406,2.148382880362307,2.390730531356692,9,32,123,-0.9424165044030559,79,300,300
35.884368545652144,0.31333623288722484,2.125129815836155,3.221004101754062,4,34,422,119.05758349559694,41,300,300
35.895735212318804,0.3127982500551208,2.134480700287853,3.3274008057771094,4,36,427,239.05758349559693,41,300,300
36.993466069197,0.3099735619055782,2.1396965287945444,2.2749506783345756,4,36,150,-31.61812285013913,41,300,300
35.63100773586366,0.306090047937689,2.138619473164487,3.226544711186634,5,38,422,88.38187714986087,41,300,300
35.53895061252415,0.14769577311234977,2.120915639488481,3.3682038630721443,4,42,447,208.38187714986088,20,300,300
37.23999832751152,0.05211033788617743,2.1055810219094,2.2041135112645693,1,44,164,-20.76699951386953,7,300,300
35.22851903698589,0.029339086042619335,2.090511257858547,3.0679596193579877,0,46,434,99.23300048613046,4,300,300
35.18620997858365,0.0,2.0776296405864962,3.1495639243914715,0,48,445,219.23300048613046,0,300,300
36.88387442699418,0.0,2.075199030163011,2.065565476314388,0,49,171,-9.787364944237247,0,300,300
34.83643692909704,0.0,2.054049446074469,2.9980216139521563,0,51,445,110.21263505576275,0,300,300
34.83898186309447,0.0,2.050160352263942,3.136897169254608,0,52,450,230.21263505576275,0,300,300
36.274688504786795,0.0,2.0210797052130776,2.034013860720187,0,57,168,-40.505834464042465,0,300,300
35.04408404124512,0.0,1.983933906809178,2.9981242550300147,0,60,445,79.49416553595753,0,300,300
35.048914145411786,0.0,1.9834182199750174,1.9392101841011136,0,61,170,199.49416553595753,0,300,300
35.06257956207844,0.0,1.998013310930971,2.9029354849728346,0,61,442,319.49416553595756,0,300,300
37.03612712197784,0.0,1.9860194789261287,2.9859616342214634,0,66,441,89.62986855454808,0,300,300
35.54148993447785,0.0,1.9824918077496554,1.9409900284325412,0,68,163,209.62986855454807,0,300,300
36.57436788388742,0.0,1.9733217001825107,2.902389529854191,0,71,437,-21.271113732619526,0,300,300
35.35145632138742,0.0,1.9666921149865653,3.001156032388535,0,76,434,98.72888626738047,0,300,300
35.35938215472076,0.0,1.9678938042671272,1.9539356493725601,0,75,168,218.72888626738046,0,300,300
37.19906807112444,0.0,1.9524288856674006,2.9219572472057624,0,78,441,-12.061105842658819,0,300,300
35.25443473779109,0.0,1.9381096288100832,3.02214961243066,0,80,445,107.93889415734118,0,300,300
35.27097932112442,0.0,1.9345328908534574,1.959760403208423,0,82,164,227.93889415734117,0,300,300
36.53855206423839,0.0,1.9312515498031648,2.9244641525355233,0,83,442,-2.8965242616119156,0,300,300
34.94038956423839,0.0,1.93371263981921,3.0519365268289684,0,85,450,117.10347573838808,0,300,300
34.94247206423836,0.0,1.926605079409416,1.9942515771287488,0,90,172,237.10347573838808,0,300,300
36.85778957006399,0.0,1.9309144027250207,2.9394845966101912,0,90,447,-34.171699030903895,0,300,300
35.12899790339736,0.0,1.906393876551014,3.073757888940704,0,92,449,85.8283009690961,0,300,300
35.13522498673072,0.0,1.903041831119131,2.00407609588772,0,93,165,205.82830096909612,0,300,300
36.184417783306976,0.0,1.8761644421991828,2.94683198401543,0,94,436,-23.955596318954186,0,300,300
35.21943236664031,0.0,1.8798967236558743,1.9178663957162234,0,93,165,96.04440368104582,0,300,300
35.23479903330696,0.0,1.883705662281734,2.8873451321687122,0,98,441,216.04440368104582,0,300,300
36.812819778682325,0.0,1.8991543318183983,2.9652927012771126,0,99,439,-13.617332579884994,0,300,300
35.154186445349,0.0,1.8919112986970215,1.9395881355597229,0,100,170,106.38266742011501,0,300,300
35.16491840718495,0.0,1.8801507962563342,2.890762309668442,0,102,441,226.382667420115,0,300,300
